ID,Epic,Layer,Task,Implementation Prompt,Acceptance Criteria,Priority,Dependencies,Effort (hrs),Status,Spec Ref
C7,C. Scheduling Engine,Algorithm / Resource,Charger arbitration (single & multi-charger),"Model each station as a resource with `num_chargers` time-slots of length charge_minutes. `reserve(station, requested_start) -> actual_start` assigns the earliest free charger >= requested_start, computing wait. Generalize over num_chargers so 1 vs 2 chargers is data-only. This resolves 'who goes first, who waits'.","With 1 charger, overlapping requests serialize (second waits); with num_chargers=2 two buses charge concurrently — no code change, only data.",P0,C4,5,Not Started,One bus per charger; decide order & waits; 'double chargers'
C8,C. Scheduling Engine,Algorithm / Core,Core scheduler orchestration,"Implement the chosen approach in `scheduler/engine.py: schedule(scenario) -> ScheduleResult`. RECOMMENDED: deterministic, event-driven greedy — process charge requests in time order; for each bus pick the feasible candidate plan + charger ordering that minimizes the weighted objective (C6) given commitments so far; tie-break by bus priority then departure then id. Keep the search strategy swappable (Strategy pattern) so CP-SAT/ILP can replace greedy later without touching rules or data.",Returns a complete ScheduleResult for all buses; deterministic across runs; swapping strategy class doesn't touch rules.,P0,"C2,C6,C7",8,Not Started,Decides plans + order; approach must be defensible & scalable
C9,C. Scheduling Engine,Algorithm / Output,Per-bus timeline computation,"From engine commitments, build each `BusPlan`: arrival at each station, charge start (after wait), wait minutes, charge end, departure, and final arrival at destination. Compose into ScheduleResult.bus_plans.",Each bus timeline is internally consistent (end=start+charge_minutes; next leg arrival = prev end + travel).,P0,C8,3,Not Started,"Compute per-bus timeline: charge where/when, wait, arrival"
C10,C. Scheduling Engine,Algorithm / Output,Per-station ordering output,"Populate `station_order[node] = [bus_id ...]` sorted by actual charge start time at each station, including which charger index when multi-charger. This feeds the per-station view.",Order at each station matches charge start times; consistent with bus timelines.,P1,C8,2,Not Started,Per-station view: order buses charged
C11,C. Scheduling Engine,Algorithm / Validation,Post-schedule invariant check,"After scheduling, run all hard rules over the final ScheduleResult and assert zero violations (defensive double-check). Expose `validate(result, scenario) -> list[Violation]`. Surface any violation loudly (the schedule must never silently break the 240 km rule).",validate() returns [] for all 5 scenarios; deliberately corrupted result returns specific violations.,P0,"C8,C4",3,Not Started,Correctness: schedules respect all hard rules
D1,D. Internal API / Contracts,API / Contract,Loader -> Engine contract,Define a clean function boundary: UI/CLI calls `load_scenario(path)` then `schedule(scenario)`. No Streamlit imports inside scheduler package (engine must be usable headless / from tests / future REST API).,Engine importable and runnable with zero Streamlit dependency; `python -m scheduler.engine data/scenarios/scenario_1.json` prints a result.,P1,"B8,C8",2,Not Started,Scalability: engine reusable beyond this UI
D2,D. Internal API / Contracts,API / Contract,Engine -> UI result contract,"Provide adapters converting ScheduleResult into pandas DataFrames the UI needs: `to_bus_table(result)`, `to_station_table(result, node)`, `to_input_table(scenario)`. Keep formatting (HH:MM) in the adapter, not the engine.",Adapters return tidy DataFrames; engine stays format-agnostic (minutes only).,P1,"C9,C10",3,Not Started,UI renders per-bus & per-station; input table
D3,D. Internal API / Contracts,API / Perf,Result caching,Wrap scenario load + schedule in `st.cache_data` keyed by scenario name + weights so re-selecting a scenario is instant and recompute only on change.,Switching scenarios twice triggers compute once; changing a weight invalidates cache.,P2,D2,1,Not Started,Smooth UX; scalability
E1,E. Frontend (Streamlit),Frontend / UI,"App entry, layout & scenario dropdown","In `app.py`: set page config, title, and a `st.selectbox` populated from `list_scenarios()` AT THE TOP so reviewers land on the dropdown immediately. Load the selected scenario and run the scheduler (cached). Use tabs/sections for the three views.",Opening the app shows the dropdown first; selecting a scenario triggers a scheduled result.,P0,"D2,B8",3,Not Started,Dropdown at top; land on app & see it immediately
E2,E. Frontend (Streamlit),Frontend / UI,Scenario input view,"Add a section showing the raw input: a readable table of buses (id, operator, direction, departure HH:MM) plus the world/route/stations/weights summary. Optionally show raw JSON in an expander so reviewers see exactly what's fed in.","Reviewer can see the full input for any scenario, including the active weights.",P0,"E1,D2",3,Not Started,Scenario view showing the input
E3,E. Frontend (Streamlit),Frontend / UI,Per-bus timetable view,"Render one row (or expandable block) per bus: stations used, arrive/start/wait/end at each, and final arrival time, all HH:MM. Show charge count. Sort by departure. Make waits visually obvious (e.g., highlight non-zero waits).","Every bus shows a complete, readable timeline; BK buses show >=2 charges; waits are visible.",P0,"E1,D2",4,Not Started,"Per-bus timetable: stations, time, wait, arrival"
E4,E. Frontend (Streamlit),Frontend / UI,Per-station view,"For each of A,B,C,D show the ordered list of buses that charged there (bus id, operator, charge start, wait, end, charger index if multi). One table or column per station.",Order at each station is clear and matches the schedule; reviewer can sanity-check fairness vs weights.,P0,"E1,D2",3,Not Started,Per-station view: order buses charged
E5,E. Frontend (Streamlit),Frontend / UI,Live weight controls (optional but recommended),"Add sidebar sliders for individual/operator/overall weights, defaulting to the scenario's values. On change, re-run the scheduler so reviewers can SEE weights change the schedule (esp. Scenario 4). Provide a 'reset to scenario defaults' button. Keep scenario file as source of truth for defaults.",Dragging operator weight up visibly reorders Scenario 4; reset restores file defaults.,P1,"E1,C6",3,Not Started,Different weights -> different defensible schedules
F1,F. Scenario Data,Data / Content,Encode all 5 scenarios,"Create `data/scenarios/scenario_1..5.json` from the PDF tables. S1 even 15-min spacing; S2 bunched 8-min then spaced; S3 asymmetric (10 BK, 4 KB); S4 operator-heavy (KPN 8/10) with weights individual=1,operator=2,overall=1; S5 worst-case convergence 8-min both ends. All share route/world/240km/25min/1 charger; S1-3,S5 weights default 1/1/1.",All 5 files parse; departure times & operators exactly match the PDF; S4 carries operator=2.0.,P0,"B5,B8",4,Not Started,Ship all 5 scenarios in your data format
F2,F. Scenario Data,Data / QA,Validate scheduled output for all 5,"Run engine on each scenario; eyeball per-bus and per-station outputs for sensibility (enough charges, reasonable waits, no range violations). Capture a short notes file of observed behavior per scenario for the interview.","Every scenario produces a sensible, defensible result with zero hard-rule violations.",P0,"F1,C11",3,Not Started,Cycle through all 5; every one sensible
G1,G. Testing,Testing / Unit,Physics unit tests,"pytest in `tests/test_physics.py`: travel_minutes, arrival times for both directions, speed config respected.",Tests pass; cover both directions and a non-60 speed.,P1,C1,2,Not Started,Code quality / correctness
G2,G. Testing,Testing / Unit,Feasibility/plan tests,`tests/test_plans.py`: assert no candidate plan has a leg >240; BK requires >=2 charges; route order preserved; KB enumerates reversed station order.,"All assertions pass; an impossible range (e.g., 90km) yields no plan -> handled.",P0,C2,3,Not Started,240 km rule; >=2 charges
G3,G. Testing,Testing / Unit,Rule unit tests,`tests/test_rules.py`: each hard rule flags its violation; each soft rule returns higher penalty for worse schedules; weight multiplication correct.,Each rule has at least one positive and one negative test.,P1,"C4,C5",3,Not Started,Scalability: rules independently testable
G4,G. Testing,Testing / Invariant,Charger exclusivity invariant test,"`tests/test_charger.py`: across a full schedule, no station has more concurrent charges than num_chargers; multi-charger config allows concurrency.",Invariant holds for all 5 scenarios; multi-charger test passes.,P0,"C7,C11",2,Not Started,One bus per charger at a time
G5,G. Testing,Testing / E2E,End-to-end scenario tests,`tests/test_e2e.py`: load & schedule each of the 5 scenarios; assert validate()==[] and every BK bus has >=2 charges and every bus arrives.,All 5 scenarios green end-to-end.,P0,"C11,F1",3,Not Started,Correctness across all scenarios
G6,G. Testing,Testing / Behavior,Weight-sensitivity test,`tests/test_weights.py`: run Scenario 4 with operator weight 1.0 vs 2.0 and assert the resulting station order / objective breakdown differs in the operator term.,"Different weights produce a measurably different, defensible schedule.",P1,"C6,F1",2,Not Started,Different weights -> different schedules
H1,H. Documentation,Docs,README full write-up,"Fill README: one-line overview, live Streamlit link, `streamlit run app.py` instructions, venv + pip steps, project layout, exactly how to change a weight (point to scenario JSON + sidebar), how to add a rule (point to rules/ + 5-line example), scenario list, assumptions link.","A new dev can clone, install, run, change a weight, and add a rule using only the README.",P0,"A4,E5,C3",3,Not Started,"Deliverable: README (run, change weight, add rule)"
H2,H. Documentation,Docs,ARCHITECTURE: framework choice & why,"Explain the chosen approach (event-driven greedy + pluggable weighted rule registry, Strategy-swappable to CP-SAT). Justify fit: small instances, need for easy rule addition and weight tuning, deterministic & explainable output, no heavy solver dependency. Contrast with pure ILP/CP-SAT (more optimal, heavier, harder to extend rules ad hoc) and note migration path.",Reviewer understands why this approach fits and how it scales; trade-offs are explicit.,P0,"A5,C8",3,Not Started,Docs: framework & why it's the right fit
H3,H. Documentation,Docs,ARCHITECTURE: anticipated future changes table,Write the change-foresight table: for each anticipated change state how the design absorbs it WITHOUT code changes. Cover: add a station; change a segment distance; double/var chargers per station; swap/add operator; add/remove buses; new route / multiple routes sharing stations; priority buses; time-of-day electricity cost; driver shifts; partial/variable charge time; variable speed/traffic; per-bus battery range; new soft or hard rule; new weighted objective term; bigger fleets (perf).,Breadth & specificity is high; each row names the exact field/file that changes (data) vs claims 'no engine rewrite'.,P0,"A5,B5,C3",4,Not Started,KEY SIGNAL: breadth of anticipated changes
H4,H. Documentation,Docs,ARCHITECTURE: change-a-weight example,"Show the literal diff: edit `weights.operator` from 1.0 to 2.0 in the scenario JSON (and/or sidebar slider). Explain the cost function reads weights by key, no code touched.",Concrete before/after snippet; verifiably one-value change.,P0,"A5,B6",1,Not Started,Docs: how to change a weight w/ example
H5,H. Documentation,Docs,ARCHITECTURE: add-a-rule example,"Show a full minimal new rule (e.g., `ElectricityCostRule` penalizing charging during a peak window) as a ~10-line Rule subclass dropped into rules/, plus the one-line weight key added to scenarios. Demonstrate the engine needs no edit.",A reader could paste the example and have a working new soft rule.,P0,"A5,C3",2,Not Started,Docs: how to add a rule w/ example; live add-rule test
H6,H. Documentation,Docs,ARCHITECTURE: assumptions log,Document every assumption: speed=60 km/h; charging always to full & exactly 25 min; buses don't charge at endpoints; instantaneous decision/no re-planning mid-trip; ties broken by priority->departure->id; objective definitions for each soft term; what 'operator runs smoothly' means quantitatively; behavior if no feasible plan exists; whether buses may skip optional charges. Be honest about what's not done.,Assumptions are explicit and defensible; gaps in the spec are addressed.,P0,A5,2,Not Started,Make your own calls; document assumptions
I1,I. Deployment,DevOps / Deploy,Push public GitHub repo,"Create a PUBLIC GitHub repo, push all code, data/scenarios, tests, README, ARCHITECTURE. Ensure no secrets committed. Add a clear commit history.",Repo is public and contains all code + all 5 scenarios + both docs.,P0,"H1,F1",1,Not Started,Deliverable: public GitHub repo
I2,I. Deployment,DevOps / Deploy,Deploy to Streamlit Community Cloud,"Connect the repo on share.streamlit.io, set main file `app.py`, deploy. Confirm requirements.txt installs and app boots on the dropdown.",Public Streamlit URL loads and shows the scenario dropdown.,P0,"I1,A2,E1",2,Not Started,Deliverable: hosted public link
I3,I. Deployment,DevOps / QA,Hosted smoke test (all 5),"On the live URL, cycle all 5 scenarios; confirm input view, per-bus timetable, per-station view all render and look sensible; test on a fresh browser/incognito.",All 5 scenarios render correctly on the hosted app for an anonymous visitor.,P0,"I2,F2",1,Not Started,How we'll test: cycle through all 5
I4,I. Deployment,PM / Submit,Submit the form,Submit hosted URL + repo URL + approach summary + build notes via the Google Form. Re-submit if anything changes (latest wins). Deadline June 2nd.,Form submitted with both public URLs and a crisp approach summary.,P0,"I2,I1",1,Not Started,Submission form; deadline June 2
